salary;age;elevel;car;zipcode;credit;brand
64042,74061;24;3;7;0;673;Elago
66195,07727;21;2;1;7;618,22;Belkin
147125,842909716;42;4;9;7;725,45; 
108045,2778;20;2;9;2;676,45;Elago
36679,32036;35;2;12;1;460,37;Elago
84796,30592;24;2;19;2;606,03;Belkin
96634,72606;28;3;6;5;601,86;Belkin
44367,07402;64;2;3;5;545,93;Belkin
41714,67173;33;2;8;1;530,77;Elago
42168,6251;68;1;6;7;570,61;Belkin
50889,06737;20;2;8;4;574,92;Belkin
126332,64;73;3;1;6;787,4;Belkin
37216,5830261202;59;2;18;2;510,23; 
82637,26183;59;3;14;8;619;Belkin
37170,9683332917;30;1;18;7;477,4; 
72667,41821;49;1;17;7;616,85;Elago
140305,3489;66;4;2;4;707,1;Elago
69257,24864;37;2;20;5;522,34;Belkin
28630,12899;35;1;10;6;559,6;Elago
61422,57388;50;2;4;6;605,65;Elago
79424,7926;63;2;3;0;697,77;Belkin
54943,25953;27;1;17;6;563,88;Elago
130768,5797;49;2;3;1;663,92;Elago
98333,1355642523;57;3;16;6;582,49; 
58432,01452;22;2;19;4;664,72;Belkin
68520,15365;75;2;5;8;655,88;Belkin
51158,74495;40;1;3;0;629,99;Elago
150000;43;3;11;5;797,38;Elago
46980,88866;55;1;3;7;575,75;Elago
122246,6455;65;3;4;8;658,41;Belkin
94117,1224701561;62;3;3;0;661,87; 
111355,4901;70;3;13;7;665,41;Belkin
119767,687;78;4;14;2;713,26;Belkin
40879,52277;37;2;3;1;553,17;Elago
39493,85501;26;2;20;5;502,04;Elago
36539,8605;71;2;19;1;621,14;Elago
58151,0143;21;1;18;2;626,92;Elago
118124,6416;41;4;3;5;720,08;Belkin
90543,74037;24;2;1;5;622,32;Elago
48407,23949;62;2;8;1;609,39;Belkin
145741,042;46;3;11;8;693,87;Elago
116461,703;70;4;3;3;765,26;Elago
100278,3045;68;2;20;7;583,16;Elago
117856,3704;72;2;14;2;679,45;Belkin
105599,8079;61;2;13;1;761;Belkin
93493,4782848281;64;3;7;3;726,28; 
43757,70778;32;2;20;6;483,42;Elago
118838,7513;54;4;13;5;667,12;Belkin
144050,730472793;63;2;11;3;700,07; 
50820,5420875194;73;3;10;5;565,98; 
112738,5274;74;2;16;5;732,38;Elago
28686,45192;68;1;15;7;527,82;Belkin
93583,2313315931;65;2;15;8;593,36; 
27300,8485275872;49;1;16;1;598,84; 
20000;28;2;18;4;537,9;Elago
125839,9403;75;2;2;4;796,47;Belkin
122301,0743;54;3;6;2;784,08;Belkin
48670,76233;23;1;8;8;488,48;Belkin
141948,051102589;49;2;20;3;809,69; 
70805,31042;80;2;1;3;672,6;Belkin
21567,43106;68;2;18;0;532,71;Belkin
55218,01532;64;2;17;8;496,06;Belkin
50977,2587;67;1;6;4;501,85;Belkin
135056,598241926;73;2;13;4;800,91; 
31133,92295;51;1;18;1;563,13;Elago
59350,6996427973;66;2;1;7;650,56; 
46827,06295;68;2;19;7;549,4;Belkin
136484,24640258;73;2;20;0;639,76; 
21947,83252;62;1;8;8;483,45;Elago
130083,2935;48;3;14;7;658,89;Elago
151083,898719489;73;3;8;1;725,63; 
20000;20;2;8;3;521,81;Elago
103612,206151419;59;2;2;6;609,69; 
108682,274478359;69;3;16;4;644,12; 
115646,6362;34;2;10;2;734;Elago
68762,76949;23;2;5;2;556,68;Belkin
128751,1452;66;2;2;0;770,65;Belkin
105795,4407;59;3;10;2;698,07;Elago
87233,2487564401;40;3;7;7;634,01; 
81355,02325;53;3;16;6;538,97;Belkin
92571,95927;73;3;15;1;685,39;Elago
47590,82397;38;2;20;6;476,49;Elago
140634,9444;31;4;1;7;803,69;Elago
102535,484214359;24;3;9;7;728,6; 
83949,29034;50;3;10;3;705,05;Belkin
119334,7901;75;3;3;4;625,76;Elago
135785,214;34;3;14;7;670,97;Elago
97947,03652;62;3;13;1;611;Elago
93556,99758;48;3;1;5;724,02;Belkin
48878,61217;35;2;20;4;511,77;Elago
67854,08356;67;3;8;6;514,19;Belkin
132251,1503;61;2;1;6;657,19;Belkin
135994,820803302;25;3;2;8;733,79; 
27581,6377072298;51;2;15;0;613,32; 
132800,884766041;80;3;1;1;626,53; 
48882,32406;54;1;3;5;549,83;Elago
31642,582994257;79;2;15;0;602,27; 
99288,634549444;53;2;1;6;598,7; 
45455,4619756314;71;1;10;0;653,06; 
141307,849595508;69;4;1;4;822,66; 
104428,7746;78;3;4;1;730,06;Belkin
148384,9667;32;3;11;5;831,49;Elago
42393,8635856653;20;2;16;4;494,8; 
115334,5828;78;2;6;4;733,15;Belkin
116247,4278;78;2;13;3;620,99;Elago
143952,826627168;25;2;4;3;722,04; 
44441,9324336115;22;2;19;8;520,82; 
88974,95706;38;2;6;6;589,48;Belkin
117893,0647;79;2;3;8;788,43;Belkin
135301,155;59;3;12;0;808,66;Belkin
83030,9673;77;2;4;0;644,27;Elago
88397,0790097711;37;2;9;0;604,98; 
98895,14806;78;2;14;5;752,59;Elago
127107,6431;46;4;19;6;641,41;Elago
43891,6011607142;54;1;3;2;637,04; 
123093,4084;36;3;17;2;718,42;Elago
149139,8535;71;3;14;5;795,82;Elago
88800,876033822;61;2;3;0;700,61; 
78336,9655;55;2;3;3;685,68;Belkin
108874,082961206;73;3;6;8;695,79; 
47482,81004;37;2;16;8;549,19;Elago
93789,0808970815;32;2;12;2;558,34; 
119702,7614;59;2;3;4;728,5;Belkin
35021,1271180893;33;2;17;0;487,4; 
131675,1106;68;3;19;7;753,67;Elago
79115,9205;25;2;1;4;554,97;Elago
36650,4513108342;68;2;10;5;506,59; 
112431,2176;64;3;20;1;761,65;Belkin
67515,10977;45;2;3;2;523,43;Elago
28830,64774;53;2;18;2;545,84;Elago
133669,6627;31;3;17;8;715,01;Elago
128891,4019;41;3;4;8;661,98;Elago
126856,42419887;71;2;16;3;622,75; 
48957,43675;23;1;4;3;495,02;Belkin
38767,56776;79;2;3;3;501,21;Elago
141349,0909;21;4;11;4;670,91;Elago
52232,14008;40;1;7;4;644,09;Elago
95137,61019;69;2;20;3;600,5;Belkin
133734,332369096;73;3;19;5;768,74; 
69295,05419;77;2;19;6;694,95;Belkin
37333,97839;35;2;17;2;465,92;Elago
145594,097031609;46;2;11;0;723,72; 
130348,9796;72;4;7;2;737,44;Elago
56041,5782114482;44;2;7;6;519,05; 
69250,726342518;32;2;3;1;524,07; 
47370,01173;33;2;10;0;572,59;Elago
150000;73;3;11;7;763,76;Elago
119923,408418126;38;3;13;0;714,14; 
105837,8633;60;2;2;8;762,67;Belkin
145409,6872;22;3;16;3;801,76;Elago
55585,66981;29;2;1;5;655,23;Belkin
85772,5638760752;45;3;10;3;577,35; 
63457,65527;43;2;20;2;566,55;Elago
112233,609416053;50;2;17;5;614,72; 
142685,338876314;31;3;14;1;775,85; 
124751,8636;46;3;13;2;732,04;Elago
47910,75531;31;2;12;3;518,47;Elago
90905,83743;58;2;19;2;721,07;Elago
23987,31653;67;2;20;5;459,12;Belkin
104303,4965;27;3;7;3;614,06;Elago
35463,8621307051;59;2;20;1;509,26; 
58686,11753;72;3;16;8;676,74;Belkin
88387,43138;80;2;3;1;581,96;Belkin
100030,4649;41;2;13;1;574,2;Belkin
134392,667;56;2;9;8;660,56;Elago
37233,58616;20;1;19;8;572,98;Elago
44966,06835;48;2;8;5;543,81;Elago
125867,604431864;70;4;1;8;777,23; 
80215,38387;71;3;6;1;596,43;Belkin
66426,98508;20;2;3;5;653,31;Elago
114021,902;56;3;17;8;691,46;Belkin
64556,60827;62;2;7;4;572,52;Belkin
58733,4333342835;52;2;17;8;604,3; 
44329,8368999748;72;2;12;0;578,33; 
90081,9543;35;2;2;0;580,39;Belkin
25522,80927;60;2;7;1;596,93;Belkin
134868,232014993;34;3;6;8;753,71; 
61423,39355;38;3;15;3;644,12;Elago
54596,65289;46;2;10;3;644,62;Elago
126564,8157;25;2;7;7;746,75;Elago
123800,471487275;39;3;19;2;758,33; 
35217,97023;29;2;6;7;485,67;Elago
108820,5319;66;3;1;6;602,53;Belkin
63875,80836;45;2;15;5;570,2;Elago
46180,5487711196;80;2;3;3;600,01; 
87164,14369;71;2;19;0;619,66;Belkin
132894,6915;69;3;2;5;684,3;Belkin
53633,30109;54;2;8;6;561,78;Elago
32417,33493;75;1;15;3;601,4;Belkin
92748,8390944413;33;2;12;0;681,2; 
140924,8071;80;3;11;0;759,4;Elago
110551,070764269;66;2;20;0;614,4; 
93768,95176;72;2;6;6;580,63;Elago
138411,7918;45;4;1;0;658,07;Elago
109862,92;47;2;14;7;649,5;Belkin
87547,4446;78;2;18;3;696,98;Elago
125376,2856;61;3;14;8;711,44;Belkin
94969,21893;69;3;16;5;740,3;Elago
124080,3951;63;4;13;0;637,05;Belkin
74710,23742;35;2;16;8;552,15;Belkin
134383,7243;43;2;12;6;807,96;Elago
123044,756495739;20;2;12;1;768,99; 
155980,823675166;22;3;17;7;762,93; 
143981,7807;45;4;8;3;684,32;Elago
73527,1294454739;44;2;7;2;627,17; 
135136,119;45;3;7;8;652,07;Elago
34465,24816;52;2;18;1;528,42;Elago
151255,270434187;38;4;1;6;706,51; 
50873,707989723;71;2;20;1;516,11; 
44182,1938756534;56;2;15;8;652,67; 
123512,925101454;29;4;1;5;758,29; 
147320,752173223;37;3;11;4;833,17; 
74786,76214;80;2;5;3;548,44;Belkin
64589,6012269112;73;2;20;7;507,3; 
143343,228634848;54;3;11;1;657,58; 
82012,41628;24;2;3;5;598,41;Elago
120174,487888037;80;3;19;4;649,23; 
42878,6818418861;39;2;20;0;490,2; 
126553,5415;30;2;6;1;770,67;Elago
107117,8787;28;3;2;6;719,73;Elago
140432,372058077;72;3;2;7;803,32; 
77535,6566172145;64;3;10;0;681,33; 
41254,5697844327;28;1;5;5;639,61; 
135691,352116271;44;3;19;2;735,08; 
105042,0313;36;3;6;8;594,26;Belkin
122237,4123;49;4;12;5;762,77;Elago
63038,53543;51;2;7;6;539,48;Elago
23624,55037;36;2;18;0;586,83;Elago
84549,37544;43;2;15;0;646,83;Belkin
29976,84596;20;2;15;0;584,15;Elago
58078,85302;78;1;10;0;538,25;Elago
73643,0661721473;61;1;7;2;618,99; 
103243,9011;48;2;2;5;679,94;Belkin
34915,86608;32;2;15;7;579,61;Elago
82343,15978;28;2;4;2;696,37;Belkin
89807,61694;55;3;9;4;719,88;Belkin
32263,10758;36;2;18;1;451,79;Elago
25658,91522;52;1;18;7;456,25;Elago
150000;44;4;20;6;778,14;Elago
89343,2902563517;27;2;17;5;560; 
99213,2320298213;72;2;8;4;733,34; 
102697,046520286;50;2;7;4;619,58; 
20000;33;2;7;4;531,36;Elago
42163,49568;47;1;10;4;469,01;Elago
131090,922833972;34;2;10;6;671,34; 
36434,0407456551;37;2;19;1;623,3; 
38183,68137;44;2;8;4;533,03;Elago
103027,4443;49;3;3;0;625,61;Belkin
81534,9591556849;69;2;9;8;654,2; 
71536,45894;72;2;15;1;605,81;Elago
27989,16787;37;1;20;5;458,65;Elago
138791,522688867;55;2;2;2;790,9; 
127367,2236;78;2;3;2;716,76;Elago
100709,9223;68;3;19;4;635,84;Belkin
136594,404823742;26;3;19;0;796,6; 
86532,5737815889;27;2;5;7;660,29; 
150090,374616762;62;2;11;3;722,9; 
125548,1075;47;3;3;7;657,42;Elago
131557,0493;20;3;3;8;711,23;Elago
73583,59946;29;3;1;2;549,02;Belkin
120115,9191;48;3;2;2;631,25;Belkin
40679,0049462358;71;2;7;2;544,11; 
113382,711706511;52;3;13;4;705,48; 
88812,1844455018;38;2;8;0;714,24; 
106733,309529155;47;3;17;7;762,22; 
38922,79296;33;2;8;5;612;Elago
46027,98976;35;1;6;1;567,01;Elago
123724,6806;78;3;20;7;633,56;Elago
59864,9660926853;67;2;16;8;594,29; 
82160,86563;68;3;14;0;652,06;Elago
59044,1758;68;2;10;1;534,98;Elago
25993,4592735298;25;2;4;0;525,54; 
79597,31919;70;3;18;4;579,25;Elago
147976,394459788;59;2;9;5;668,45; 
42984,0797333785;30;1;7;7;524,02; 
146802,6126;33;3;4;3;815,05;Elago
51905,2583256982;24;2;16;5;559,29; 
84271,0273586707;44;2;12;2;682,98; 
117972,8844;73;4;1;7;667,3;Belkin
56384,9772667848;34;2;18;4;560,98; 
70145,31616;51;1;7;3;534,58;Elago
23020,05271;57;2;15;3;479,46;Belkin
39839,38021;24;1;17;3;611,67;Elago
91265,49502;41;2;7;6;574,78;Belkin
47213,2715385908;65;1;7;1;566,97; 
55889,91013;68;1;6;4;548,77;Belkin
115626,9594;24;2;9;2;784,06;Elago
36894,9406750285;20;2;8;8;568,54; 
133534,8161;37;3;5;3;780,97;Elago
104613,952792739;36;2;19;7;748,78; 
43483,00617;53;2;5;0;636,55;Elago
142760,7654;62;3;3;1;775,5;Elago
141905,794286531;27;2;11;4;711,71; 
105840,6147;27;3;8;7;628,93;Elago
83633,3826276069;63;2;7;6;701,44; 
142988,0624;76;3;9;5;674,37;Belkin
37481,7431956977;34;2;6;1;502,26; 
103780,1125;52;2;4;8;644,38;Belkin
157752,966804712;48;3;13;1;692,93; 
145597,574904385;61;3;11;5;784,42; 
100318,790010268;27;2;10;1;620,11; 
131596,363038258;47;2;7;0;785,42; 
132326,5762;78;3;8;0;668,59;Elago
100396,291139115;59;2;2;5;586,31; 
94010,13427;51;2;12;3;654,13;Belkin
70734,9067310623;64;2;7;3;622,21; 
67069,48215;27;1;20;8;619,21;Elago
27068,47894;55;1;18;3;579,1;Elago
20000;25;1;15;2;506,92;Belkin
98507,3671900441;56;2;3;5;676,22; 
30815,9776797206;50;1;18;7;474,52; 
72619,64172;20;3;8;4;562;Belkin
135945,736;50;3;13;1;728,14;Elago
72267,03782;52;2;8;2;592,43;Elago
121889,5719;60;4;3;5;705,93;Belkin
78782,0755;45;3;1;5;536,37;Belkin
112241,443372446;80;2;13;8;602,67; 
87159,6554;39;2;9;6;722,93;Belkin
88079,26954;73;2;1;1;686,85;Elago
63663,4888770445;36;2;7;2;616,93; 
64789,7561544032;79;3;20;4;531,02; 
76596,5820683489;55;3;7;8;586,19; 
125741,068480018;34;2;12;7;672,54; 
132358,106012673;34;4;4;2;789,3; 
68389,4695966651;27;2;7;1;642,72; 
56844,8940150314;25;1;20;6;522,28; 
145135,68354852;53;3;13;7;684; 
37456,70279;57;2;20;0;613,42;Belkin
69913,3906;58;2;7;8;562,26;Belkin
76769,95396;75;2;18;8;565,41;Belkin
103104,2922;67;3;20;4;612,98;Belkin
90600,0747450456;74;3;16;7;634,52; 
113516,977997094;47;2;3;7;664,88; 
91638,7241997441;67;3;10;1;586,95; 
103326,425;80;2;14;4;737,09;Elago
142392,6089;52;3;11;7;694,15;Elago
66626,3091346393;30;2;15;0;605,24; 
34790,64376;44;1;18;7;583,29;Elago
141247,807773082;62;3;11;6;771,28; 
101065,2903;29;3;14;1;730,19;Belkin
40229,30615;78;2;3;3;631,96;Belkin
132543,2098;20;3;12;4;769,34;Elago
84542,5822815853;20;2;16;1;595,55; 
129373,0967;48;2;3;8;646,17;Elago
133521,7004;50;2;13;8;786,24;Elago
55278,1820668189;46;3;10;0;560,42; 
27584,6673322241;54;2;18;3;530,54; 
60935,7713021361;63;1;19;6;580,43; 
71919,88081;23;2;6;5;654,15;Belkin
145104,955277847;36;4;17;4;760,32; 
98489,2698174578;44;3;14;8;747,81; 
71795,11511;65;2;1;5;528,85;Belkin
107933,3284;28;2;7;6;629,97;Elago
61787,02396;33;1;3;3;541,05;Elago
39349,4966693501;30;2;16;1;610,61; 
129091,715445748;57;3;17;2;782,42; 
55186,0856314162;70;2;5;5;572,38; 
43910,58005;67;2;19;6;487,82;Belkin
122899,5779;39;3;14;0;630,14;Elago
24391,42952;53;2;18;3;514,26;Elago
118272,7701;29;4;7;5;648,59;Elago
47375,70132;68;2;8;2;565,5;Elago
55284,78479;59;1;19;2;518,32;Belkin
99944,25902;49;3;10;5;630,25;Belkin
49336,02111;60;2;15;5;617,61;Belkin
110284,7796;23;3;6;0;659,78;Elago
99885,11589;65;3;6;1;582,25;Elago
137737,4744;66;3;13;4;762,84;Elago
141700,0305;63;3;11;3;750,66;Belkin
113929,3439;61;2;12;0;670,37;Belkin
137919,105741289;24;3;8;4;712,5; 
128890,9982;63;4;2;4;670,27;Elago
146965,2472;69;4;3;7;780,64;Elago
37469,15113;57;2;8;7;567,81;Belkin
93813,9440181754;48;2;6;1;692,5; 
89811,45235;24;2;13;7;707,57;Belkin
89858,3404839733;78;2;16;8;657,81; 
106050,3406;41;3;4;3;708,27;Belkin
93223,76596;26;2;12;2;665,59;Belkin
90674,2403;27;2;9;7;561,29;Belkin
113349,0798;36;3;17;8;643,4;Elago
138563,969511533;47;3;13;4;690,98; 
111036,796;68;3;5;0;737,7;Belkin
39058,9303;49;1;17;0;582,49;Elago
116996,701338766;22;3;13;4;771,99; 
96727,8720793175;58;3;6;7;595,66; 
33203,6414949088;20;2;18;7;619,04; 
116770,8716;30;4;1;7;755,13;Elago
102667,634438278;74;3;6;5;663,15; 
77954,8974169649;25;2;14;7;661,67; 
117274,6451;50;3;3;3;726,3;Belkin
28064,53467;43;2;18;7;482,42;Elago
81503,74055;37;3;20;2;698,34;Belkin
118055,383907102;72;2;2;0;676,94; 
50160,9653691121;59;2;8;5;663,33; 
90366,84829;34;2;15;2;612,24;Belkin
137613,4356;75;3;10;2;771,85;Belkin
129690,419226371;50;3;14;1;677,68; 
86155,8348779177;64;3;2;7;700,56; 
147239,241363498;56;3;11;6;815,75; 
65235,3948203865;78;1;7;2;584,69; 
123655,175841739;37;2;17;4;680,93; 
105764,4926;36;3;6;1;739;Elago
123527,653934522;26;2;16;8;610,32; 
126897,060900834;67;2;13;3;627,84; 
42176,47301;75;1;17;2;532,68;Belkin
100581,686760265;66;2;5;2;661,56; 
79612,43431;21;2;13;6;619,91;Belkin
50980,31217;27;1;15;1;606,08;Elago
36320,3074;62;2;19;8;620,64;Belkin
126072,944380813;76;3;3;3;627,59; 
65442,63055;57;3;3;3;672,2;Belkin
30790,689495176;42;2;15;4;587,13; 
21487,79049;39;1;15;1;556,64;Elago
91423,0232735132;43;2;20;2;712,34; 
140627,178613331;48;3;8;4;661,86; 
133553,743735405;58;4;19;3;687,72; 
97077,2628;67;2;13;6;594,85;Elago
60644,84945;52;2;6;5;632,64;Elago
20691,16119;20;1;4;0;582,27;Elago
146349,8293;28;4;4;0;769,07;Elago
69166,8488454144;50;1;12;0;620,28; 
143316,3593;45;3;2;3;771,07;Elago
110613,4558;71;3;8;3;653,13;Belkin
68336,08688;75;2;18;3;529,25;Belkin
59566,91214;50;2;20;6;510,64;Elago
73393,17788;72;2;19;6;548,36;Belkin
42830,49832;71;2;8;2;633,35;Belkin
119896,255883404;58;3;13;6;633,79; 
66169,89555;32;3;3;3;597,44;Belkin
65138,7028;54;1;8;8;675,93;Belkin
84585,47584;31;3;15;3;649,53;Belkin
33765,22413;50;1;6;3;485,64;Elago
125877,1804;64;3;13;6;790,53;Belkin
64407,53422;38;2;18;6;574,65;Elago
104398,6664;28;3;13;4;595,53;Elago
41345,4283140118;53;2;18;7;584,01; 
43679,96218;37;2;8;3;536,19;Elago
64681,24781;54;1;17;5;530,43;Elago
44289,39456;59;2;10;1;568,18;Elago
31844,102661309;49;2;20;2;453,3; 
28523,6353884592;80;2;15;1;576,87; 
137443,8435;74;3;13;6;752,69;Elago
63228,44084;35;2;8;0;539,85;Elago
159187,865337454;42;3;6;6;711,28; 
51837,7101423876;38;1;16;7;644,71; 
64569,24949;43;2;10;7;593,63;Elago
82285,49475;52;3;16;5;647,01;Belkin
84607,5438269993;57;3;8;8;550,45; 
115957,0616;44;3;16;8;680,62;Belkin
36361,30054;49;2;7;4;581,76;Elago
78224,01623;47;3;2;5;545,29;Elago
109982,334;60;3;3;8;701,14;Belkin
43907,62235;42;2;3;6;596,32;Elago
120607,8063;46;4;1;0;652,14;Belkin
58773,95932;44;1;16;2;580,31;Elago
55827,9127;46;2;17;1;607,79;Elago
54744,77638;72;2;18;2;575;Belkin
91711,29002;46;3;5;7;707,58;Belkin
101048,3482;31;2;4;7;724,88;Elago
85010,11707;64;2;3;6;545,86;Belkin
84915,58339;79;2;3;8;626,34;Elago
126761,4358;61;2;17;0;624,63;Elago
145905,247440889;39;4;1;6;659,27; 
129255,350400842;66;2;13;7;703,99; 
134147,339257959;78;3;7;7;648,36; 
110848,9933;61;3;7;0;775,14;Elago
20000;63;1;15;0;541,13;Belkin
62557,5044747079;63;2;20;3;589,02; 
68246,7925;46;2;1;7;514,24;Elago
145130,597340932;64;3;14;8;765,37; 
110069,087362546;54;3;13;4;715,39; 
140824,9441;72;4;20;0;799,82;Belkin
136866,9307;80;4;8;8;758,84;Elago
33489,34118;56;1;18;7;615,74;Elago
97098,05164;76;2;19;6;597,86;Belkin
96160,32419;56;3;3;2;600,35;Belkin
108161,0746;56;2;3;0;738,92;Belkin
70978,19691;38;2;7;5;523,77;Belkin
143821,8738;48;3;11;8;722;Elago
27698,69932;37;2;12;1;459,96;Elago
106993,467215159;68;3;3;1;611,24; 
49093,80489;68;3;4;7;628,98;Belkin
140191,798;41;4;8;0;744,26;Elago
45285,10418;25;1;18;8;599,78;Elago
136859,3678;25;2;17;8;689,51;Elago
77327,87339;34;2;18;4;633,01;Belkin
75378,23465;63;3;5;5;537,51;Belkin
148928,308423031;80;3;4;5;776,7; 
129572,2709;44;4;13;6;763,11;Elago
115571,28903188;60;2;16;8;619,35; 
131046,7418;65;2;2;4;646,39;Belkin
71276,9215386559;78;3;17;7;677,57; 
42044,88929;31;1;7;3;582,53;Elago
82263,3120240336;26;3;8;8;612,89; 
131743,9626;54;2;20;8;728,96;Elago
30379,79251;48;2;20;5;489,88;Elago
38511,59501;40;2;3;3;631,91;Elago
73916,7198631323;39;3;10;8;561,65; 
34679,9331;54;2;18;1;483,94;Elago
148655,5075;59;3;11;0;698,72;Belkin
40052,19314;35;2;12;1;465,8;Elago
114191,205248648;63;3;5;1;613,08; 
38067,13677;35;2;20;7;460,28;Elago
37854,62392;59;1;7;0;636,17;Belkin
125789,3938;26;4;16;5;696,91;Elago
90636,2;32;2;16;2;607,19;Belkin
113089,0666;41;3;3;8;604,68;Belkin
87160,47888;69;2;8;0;691,66;Elago
125329,7933;49;2;8;7;756,31;Elago
106585,224223641;48;3;19;1;608,74; 
81375,0789256558;27;3;6;7;705,19; 
61769,89238;35;2;7;3;569,53;Belkin
137625,5538;77;4;7;6;790,38;Belkin
141797,3276;76;4;10;1;683,21;Belkin
69669,66973;59;3;10;3;575,53;Belkin
66294,3391986929;75;2;7;2;665,59; 
110825,4028;54;2;16;8;676,92;Belkin
148624,7373;60;4;9;8;679,26;Belkin
108396,994674045;32;2;19;1;655,36; 
118477,4751;20;3;4;4;665,9;Elago
39599,92819;30;2;6;6;517,51;Elago
87690,8798280426;32;3;12;3;628,61; 
56006,03065;77;3;16;1;573,37;Belkin
38902,98332;25;2;8;6;591,75;Elago
46789,9263;47;1;15;4;639,88;Elago
152124,181678841;39;4;1;1;811,57; 
90914,7223536011;79;2;3;0;700,25; 
40768,456651535;71;2;8;7;467,31; 
150000;32;3;11;1;758,57;Elago
61657,0602203046;61;2;7;7;594,36; 
120233,0347;70;3;16;8;645,17;Elago
118880,0517;41;4;2;6;633,3;Belkin
49581,80114;41;2;12;8;621,55;Elago
28989,01297;72;2;17;1;526,06;Belkin
116252,6698;25;3;8;8;621,04;Elago
100232,226;35;2;20;6;670,18;Elago
102069,5571;54;2;14;2;625,03;Elago
76704,49791;33;2;15;3;572,37;Belkin
149083,0364;50;4;2;8;796,65;Elago
30487,07993;75;2;15;3;495,68;Elago
140816,4587;65;4;1;4;686,41;Belkin
84266,07129;70;3;4;4;605,63;Elago
99605,15321;39;2;3;6;628,12;Belkin
131078,078918389;57;2;3;0;623,52; 
130102,197505924;20;3;8;3;734,83; 
47721,68567;20;2;8;7;645,6;Elago
123753,4099;34;3;8;4;787,2;Elago
149759,456000705;66;4;8;4;819,34; 
103364,1181;25;2;6;2;713,87;Belkin
141539,602632794;60;3;11;7;741,51; 
29299,36762;45;2;8;7;555,03;Elago
64882,58248;60;3;20;5;507,89;Belkin
43455,1536;25;1;15;3;502,39;Elago
100935,82465638;51;3;20;5;641,17; 
